institution,ukprn,region,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,region_code,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
University of Nottingham,10007154,East Midlands,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28017,"
    Supporting regulatory approval of poorly soluble drugs for HIV and
        Hepatitis C
    ",A,3.84,High,5.0,30.49052607274362,13.441886984894701,16.213536005184576,16.18257320017959,0.2758,-0.143,0.2944,0.5859,0.7058,27,11,10,"['$349M', '1bn', '$349M', '$192M', '$171M', '1.16bn', '$334M', '$349M', 'over $1bn']",£0.0 million,1351,2
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28505,"
    Increasing access to low intensity psychological intervention. (ICS-09)
    ",A,3.8670000000000004,High,6.0,23.674649830220744,13.096915810696094,17.7819850221956,18.586431982173174,-0.0085,-0.7722,0.0,0.3659,0.5812,26,5,7,[],,992,2
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28506,"
    Cochrane Oral Health Group leads the international evidence base for oral
      health: Antibiotics for the prevention of bacterial endocarditis. (ICS-07)
    ",A,3.8670000000000004,High,6.0,25.721682363013713,12.446698630136988,16.564684968191745,16.70066095890411,0.0309,-0.4966,0.0,0.34,0.5592,8,3,5,"['174,580', 'up to £219,000']",£0.39 million,730,4
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28507,"
    Changing national policy on school dental screening. (ICS-10)
    ",A,3.8670000000000004,High,6.0,28.313628081457665,12.505580646149134,17.288020509699884,19.024531809523815,0.2168,-0.1204,0.1779,0.4927,0.686,26,2,3,"['17', '17']",£0.0 million,1250,2
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28508,"
    Drug Development: Influences on Regulatory Policies and Industrial
      Practices (ICS-11)
    ",A,3.8670000000000004,High,6.0,17.719805919456576,13.324474575448813,18.19554698217422,18.16137727448703,0.2759,0.0,0.0772,0.6309,0.7661,29,6,5,"['11', 'around £10.5', 'US$ 32']",£0.0 million,1148,2
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28509,"
    Reducing prescribing errors and improving patient safety in primary and
      secondary health care. (ICS-06)
    ",A,3.8670000000000004,High,6.0,21.50389795660152,12.691204700449168,18.535231010973284,20.08784181754985,0.119,-0.5725,0.0,0.5994,0.8321,26,4,10,['6.3'],£0.0 million,959,2
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28510,"
    Molecular markers and drug development leading to improvements in
      radiotherapy. (ICS-08)
    ",A,3.8670000000000004,High,6.0,17.073502915899354,13.275643032535298,17.537356342574324,19.128814610190304,0.0119,-0.6971,0.0,0.3697,0.5536,16,5,4,['$500 million'],£500.0 million,905,2
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28511,"
    From hearing screening to early intervention for deaf children and their
      families. (ICS-04)
    ",A,3.8670000000000004,High,6.0,15.857342047930302,12.554643030640152,18.638306978795242,21.095758123580403,0.1816,-0.0924,0.0,0.4115,0.7717,12,4,9,[],,799,2
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28512,"
    Prevention of atopic eczema through appropriate neonatal skin care
      practices. (ICS-12)
    ",A,3.8670000000000004,High,6.0,34.92839630318531,12.94040055025963,14.721396884518764,16.37637705805055,0.2128,-0.272,0.0772,0.4939,0.7171,12,4,5,[],,761,2
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28513,"
    Community pharmacy: improving access to medicines and pharmacists.
      (ICS-01)
    ",A,3.8670000000000004,High,6.0,17.867962962962963,12.955953112687157,19.65698465324922,22.405462667768724,0.1853,-0.3173,0.0516,0.4939,0.7519,23,4,2,[],,941,2
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28514,"
    Influencing policy in community care: the impact of care coordination and
      community care research
      on Personal Budgets and National Dementia Strategies in England. (ICS-02)
    ",A,3.8670000000000004,High,6.0,23.532063457330423,12.671287170990935,17.38646146697558,17.393310979413606,0.458,0.0,0.4939,0.7741,0.8497,32,1,6,"['6,600', '520', '£6.6 billion', '£3.3 billion']",£9900.01 million,916,5
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28515,"
    Improving care and support for patients and families throughout the
      cancer trajectory. (ICS-03)
    ",A,3.8670000000000004,High,6.0,22.363367864693487,13.189252449411054,17.451712890111914,18.502108124433704,-0.114,-0.8689,-0.0258,0.5859,0.7351,22,4,5,['£5.49 billion'],£5490.0 million,946,2
University of Manchester,10007798,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28516,"
    Falls prevention amongst older people: Development of effective
      interventions and improvement of uptake and adherence to services (Case
      Study author Todd)
    ",A,3.8670000000000004,High,6.0,39.63395351025787,12.707859900244683,15.083337761335745,13.851324789334086,0.1418,-0.4663,0.0,0.6092,0.7209,44,11,12,"['5.6', 'more than £5.6', '2.3b', '359k']",£0.0 million,1291,2
Liverpool John Moores University,10003957,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28869,"
    New Computational Tools For The Improved Hazard Assessment of
        Chemicals.
    ",A,2.8,Low,6.0,22.91273211705206,12.644070809248555,17.93685351167421,17.742873554913295,0.2762,0.0,0.2103,0.5969,0.7501,19,4,3,"['€2744 billion', 'over €5 billion', '€9.5 billion']",£2758500.0 million,865,2
Liverpool John Moores University,10003957,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28901,"
    Developing New Approaches for the Safety Assessment of Cosmetics to
      Replace the Use of Animal testing.
    ",A,2.8,Low,6.0,10.49550159406968,13.198345725350597,19.628420562507724,20.67866322701689,0.1765,-0.3161,0.0,0.4404,0.653,32,7,4,"['an estimated €70 billion', '€50 million']",£70050.0 million,1248,2
Liverpool John Moores University,10003957,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28904,"
    New psychoactive substances &#8212; responding to emerging public health needs.
    ",A,2.8,Low,6.0,25.315573770491824,12.785043637782982,17.77360955136429,17.466107971155722,0.0509,-0.4987,0.0,0.4258,0.7228,25,1,7,[],,733,2
Liverpool John Moores University,10003957,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",28912,"
    Reducing harms from alcohol in children and young people
    ",A,2.8,Low,6.0,14.733756319514669,13.092341253791709,20.59537315216635,24.492949157671745,0.09,-0.5709,0.0,0.4404,0.698,16,3,2,[],,862,4
Teesside University,10007161,North East,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",29788,"
    Changes to Healthcare Practice within the NHS: Prehabilitation,
        Rehabilitation, and Perioperative Care Research for Patient Benefit
    ",A,3.267,High,8.0,18.4141396693104,13.219199583277323,19.14565310884249,21.12134703804891,0.0491,-0.5594,0.0,0.3651,0.7057,25,3,7,[],,1396,9
Teesside University,10007161,North East,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",29827,"
    Development of national guidelines for the diagnosis, assessment and
        physiotherapy management of contracted (frozen) shoulder
    ",A,3.267,High,8.0,30.866361018208863,12.522640765514678,14.554592549557764,15.025533308614513,0.1438,-0.3487,0.0,0.4404,0.6588,22,12,10,"['£13.5 million', 'up to £2,000']",£13.5 million,899,2
Teesside University,10007161,North East,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",29848,"
    Fluoride research: changes to national and international policy and
        practice in dental health
    ",A,3.267,High,8.0,32.28250039638499,12.09612585487025,15.101572740808884,15.07867330803289,0.1009,-0.3907,0.0,0.34,0.5326,20,7,2,[],,1116,3
Birmingham City University,10007140,West Midlands,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",29889,"
    Mental health: solutions to complex care needs
    ",A,3.2,High,4.0,23.552734224392765,12.1628203187251,17.926852401261222,20.720151972754145,0.2351,-0.0873,0.2023,0.5106,0.6527,24,4,8,[],,1004,2
University of Hull,10007149,Yorkshire And Humberside,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",31097,"
    Optimising the pre-operative utilisation of magnetic resonance
      mammography
      for enhancing primary breast cancer treatment
    ",A,3.7,High,,12.825000000000017,13.565327160493828,19.802607596050557,20.145782983970406,-0.1827,-0.8834,-0.095,0.22,0.4429,26,3,9,"['250', '7.4']",£0.0 million,811,2
Open University,10007773,South East,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",31283,"
    Autism - Impact on clinical practice and raising awareness
    ",A,3.1,High,2.0,28.603956783369824,12.595757155361051,16.218646115125612,17.16491266375546,0.1291,0.0,0.0,0.3763,0.4568,18,9,4,[],,916,11
Open University,10007773,South East,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",31285,"
    Psychosocial factors and impact on knowledge and understanding about
      diabetes care
    ",A,3.1,High,2.0,13.14823313782992,12.993329545454547,18.587944101928898,20.542390611841384,0.1386,-0.3236,0.0,0.4308,0.7438,22,4,20,[],,881,2
Open University,10007773,South East,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",31286,"
    Economic impact of development of neural tissue models
    ",A,3.1,High,2.0,17.723725490196102,13.277401960784314,18.677226003548537,19.301803563667967,0.152,-0.1905,0.0,0.3612,0.5457,18,4,4,"['70', '150,000', '53,628']",£0.2 million,767,4
University of Huddersfield,10007148,Yorkshire And Humberside,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",32234,"
    Inhaled therapies
    ",A,3.2,High,,20.210780922431866,12.718475838574424,17.537356342574324,18.541439749608763,0.2478,-0.1437,0.2724,0.4896,0.6555,17,7,6,['2.1'],£0.0 million,852,2
University of Huddersfield,10007148,Yorkshire And Humberside,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",32235,"
    Influencing policy and practice in the field of surgical site
        infections and wound care
    ",A,3.2,High,,25.06812500000001,12.64578888888889,17.833180683606166,19.25105715871255,0.4347,0.0,0.6369,0.7964,0.9179,20,2,1,[],,901,2
London South Bank University,10004078,London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",32732,"
    Supportive Care in Children's Cancer Nursing: Improving the management of
      oral health.
    ",A,3.0,High,0.0,38.15487062783845,12.174216867181899,15.520026198047283,17.03430523464266,0.1107,-0.6597,0.0,0.6247,0.685,10,2,9,"['463,000', '15.44', '386', '463,000', '£2.315 million', '66,000', '330,000']",£3.64 million,1141,4
University of Chester,10007848,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",33104,"
    Monitoring and prescribing preventive and rehabilitative physical
      activity for cardiovascular and neuromuscular diseases as a catalyst to
      being involved in national and international standards of practice
    ",A,2.5660000000000003,Low,6.0,7.665238294314406,12.970844895684026,20.267338824336647,22.39828999524338,0.1601,-0.0077,0.0,0.4116,0.6403,25,1,1,[],,901,2
University of Chester,10007848,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",33105,"
    Identification of vitamin B12 as a treatment for Alzheimer's Disease
    ",A,2.5660000000000003,Low,6.0,30.49600000000001,12.841677777777777,16.52667757954773,15.996769230769232,0.29,-0.2813,0.3071,0.6242,0.6664,6,7,3,['100'],£0.0 million,455,3
Swansea University,10007855,Wales,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35208,"
    Developing and implementing national standards to improve the structure
      and content of patient records
    ",A,3.66,High,9.0,14.274919659049715,13.351593420384477,19.219720311224798,21.25146148308135,0.3684,0.0,0.3612,0.6945,0.8762,43,2,5,[],,926,6
Swansea University,10007855,Wales,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35208,"
    Developing and implementing national standards to improve the structure
      and content of patient records
    ",A,3.2,High,9.0,14.274919659049715,13.351593420384477,19.219720311224798,21.25146148308135,0.3684,0.0,0.3612,0.6945,0.8762,43,2,5,[],,926,6
Swansea University,10007855,Wales,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35233,"
    Influencing national policy to improve service delivery and patient care
      in gastroenterology
    ",A,3.66,High,9.0,10.554238341968926,13.683319067357512,20.86623423301521,24.163453608247423,0.1669,-0.2118,0.0772,0.3816,0.5956,13,0,3,[],,970,6
Swansea University,10007855,Wales,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35233,"
    Influencing national policy to improve service delivery and patient care
      in gastroenterology
    ",A,3.2,High,9.0,10.554238341968926,13.683319067357512,20.86623423301521,24.163453608247423,0.1669,-0.2118,0.0772,0.3816,0.5956,13,0,3,[],,970,6
Swansea University,10007855,Wales,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35234,"
    Reducing unnecessary attendance at hospital emergency departments by
      improving care out of hospital
    ",A,3.66,High,9.0,18.134434889434914,13.11513235053235,18.63122029486172,19.510947689182323,0.1032,-0.4944,0.0129,0.4237,0.8524,16,4,7,"['20', '£24 million']",£24.0 million,895,3
Swansea University,10007855,Wales,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35234,"
    Reducing unnecessary attendance at hospital emergency departments by
      improving care out of hospital
    ",A,3.2,High,9.0,18.134434889434914,13.11513235053235,18.63122029486172,19.510947689182323,0.1032,-0.4944,0.0129,0.4237,0.8524,16,4,7,"['20', '£24 million']",£24.0 million,895,3
Swansea University,10007855,Wales,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35236,"
    The concept of genotoxicity thresholds benefits patients and the
      pharmaceutical industry
    ",A,3.66,High,9.0,24.594048619252334,13.160267304936825,16.560467236187584,17.31264278296988,0.0698,-0.5881,0.0,0.3969,0.5314,20,7,3,['more than $100 million'],£100.0 million,856,2
Swansea University,10007855,Wales,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35236,"
    The concept of genotoxicity thresholds benefits patients and the
      pharmaceutical industry
    ",A,3.2,High,9.0,24.594048619252334,13.160267304936825,16.560467236187584,17.31264278296988,0.0698,-0.5881,0.0,0.3969,0.5314,20,7,3,['more than $100 million'],£100.0 million,856,2
University of Reading,10007802,South East,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35572,"
    Public and Commercial Engagement with brain-computer interfaces
    ",A,2.5,Low,2.0,23.55799361022366,12.853789262132969,17.288020509699884,18.455487841945292,0.1886,0.0,0.0,0.4446,0.6388,38,9,3,"['approximately €800 billion', 'approximately £1.8M 7']",£800000.0 million,940,2
University of Reading,10007802,South East,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35574,"
    Development of anti-epileptic cannabinoids: from discovery to the
        clinic
    ",A,2.5,Low,2.0,24.554837707664404,12.484211517520592,17.752649887622685,18.75172016537372,0.2075,-0.129,0.1177,0.5859,0.7373,19,7,6,['£1 million'],£1.0 million,1133,2
University of Dundee,10007852,Scotland,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35824,"
    The Hall Technique as a non-invasive method for managing caries in
        primary teeth
    ",A,3.4,High,10.0,30.78650230414749,12.616050046082949,16.191905441404998,17.650956221198157,0.1456,-0.0413,0.0,0.2732,0.7414,19,13,19,[],,868,10
University of Dundee,10007852,Scotland,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35825,"
    Improving patient care experience and staff well-being: The
        application of novel methodological advances
    ",A,3.4,High,10.0,22.051138861138895,13.485467166167165,17.33285097705468,18.490292365401586,0.3397,-0.2448,0.34,0.7184,0.8204,26,2,6,[],,824,10
University of Dundee,10007852,Scotland,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",35826,"
    Knowledge into Action: Increasing the translation and use of research
        evidence in dental practice
    ",A,3.4,High,10.0,21.35120689655176,13.544839573070607,17.155691246628667,18.695536945812812,0.2027,-0.1184,0.0,0.5631,0.8186,34,3,9,"['930,000']",£0.93 million,870,3
University of Hull,10007149,Yorkshire And Humberside,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36388,"
    Improving well-being and outcome for patients with heart failure using
      Cardiac Resynchronisation Therapy (CRT)
    ",A,3.7,High,,40.079960106383,12.297887632978725,14.972371669170947,13.967843677654066,-0.0057,-0.7365,0.0,0.4208,0.5802,20,3,11,"['$2.8 billion', 'about $2.8 billion']",£5600.0 million,965,2
University of Hull,10007149,Yorkshire And Humberside,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36390,"
    Telehealth: From Research to Mainstream Practice
    ",A,3.7,High,,22.53644286771967,12.701889496544917,17.093230236072706,18.32766129032258,0.1978,-0.4773,0.09,0.4939,0.8014,36,8,5,"['approximately £1million', 'at least £100k/year3', 'over £250k', 'over £500k']",£1.0 million,1023,2
University of Hull,10007149,Yorkshire And Humberside,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36392,"
    Changing the paradigm of Chronic Cough - the Cough Hypersensitivity
      Syndrome
    ",A,3.7,High,,22.947116135285967,13.022428469256765,16.689078388715778,16.608674409601235,0.0263,-0.3895,0.0,0.0515,0.4327,31,3,5,[],,945,4
York St John University,10007713,Yorkshire And Humberside,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36436,"
    Safe and effective exercise for patients with heart disease
    ",A,2.6,Low,,12.406187350835353,14.108821104670985,19.105833004591396,21.502018411183087,0.164,-0.1225,0.0,0.4019,0.6597,32,4,13,[],,838,5
York St John University,10007713,Yorkshire And Humberside,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36495,"
    Patient Safety
    ",A,2.6,Low,,27.86102873030586,12.753426784059315,17.650647597118724,20.33168286587059,0.4759,0.0,0.4939,0.8064,0.9201,24,5,6,['200k'],£0.0 million,831,2
University College London,10007784,London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36496,"
    Development of new guidelines for antibiotic prophylaxis for dental
      procedures in patients at risk of infective endocarditis
    ",A,3.6,High,0.0,19.643993769470427,12.762290716510904,18.243605946275583,19.35242601246106,0.0777,-0.6091,0.0,0.5316,0.7003,10,1,4,"['approximately £4', 'approximately £4']",£0.0 million,856,4
University College London,10007784,London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36496,"
    Development of new guidelines for antibiotic prophylaxis for dental
      procedures in patients at risk of infective endocarditis
    ",A,3.667,High,0.0,19.643993769470427,12.762290716510904,18.243605946275583,19.35242601246106,0.0777,-0.6091,0.0,0.5316,0.7003,10,1,4,"['approximately £4', 'approximately £4']",£0.0 million,856,4
University College London,10007784,London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36499,"
Developmental frameworks for professional pharmacy education improve the
quality and safety of pharmaceutical health service delivery around the world
",A,3.6,High,0.0,19.085038625097525,13.06764052489872,18.599290044081553,18.722346466541588,0.186,0.0,0.0,0.3182,0.7217,32,4,12,"['480,000']",£0.48 million,1025,4
University College London,10007784,London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36499,"
Developmental frameworks for professional pharmacy education improve the
quality and safety of pharmaceutical health service delivery around the world
",A,3.667,High,0.0,19.085038625097525,13.06764052489872,18.599290044081553,18.722346466541588,0.186,0.0,0.0,0.3182,0.7217,32,4,12,"['480,000']",£0.48 million,1025,4
University College London,10007784,London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36506,"
    Molecular genetic characterisation of human and animal disorders leading
      to
      improved diagnosis, prevention and treatment of inherited disorders
    ",A,3.6,High,0.0,24.125417956656378,12.574291756965945,17.7819850221956,18.431478811919504,-0.0894,-0.7059,-0.1406,0.2558,0.6124,14,5,15,"['17,500']",£0.02 million,1088,2
University College London,10007784,London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36506,"
    Molecular genetic characterisation of human and animal disorders leading
      to
      improved diagnosis, prevention and treatment of inherited disorders
    ",A,3.667,High,0.0,24.125417956656378,12.574291756965945,17.7819850221956,18.431478811919504,-0.0894,-0.7059,-0.1406,0.2558,0.6124,14,5,15,"['17,500']",£0.02 million,1088,2
Manchester Metropolitan University,10004180,North West,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36534,"
    The Impact of MMU Research on Transforming the Development of
        Services and Provision for Augmentative and Alternative Communication
        (AAC)
    ",A,3.457,High,6.0,32.83680745341616,12.392988198757765,16.123448152679433,15.847672049689436,0.2364,0.0,0.2023,0.4588,0.5994,20,4,5,"['£6.5M', '£2.5 million', '£4M']",£2.5 million,1050,2
Aston University,10007759,West Midlands,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36996,"
    5) ASTON RESEARCH REFORMING INTERNATIONAL PHARMACY EDUCATION POLICY
    ",A,3.5,High,4.0,16.95309342665857,12.739337735849057,18.75726836521839,19.26211970736515,0.2847,0.0,0.2023,0.6249,0.6556,14,6,7,[],,851,3
Aston University,10007759,West Midlands,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36998,"
    3) OLDER DRIVERS AND PEDESTRIANS: IMPACTS ON POLICIES, STEREOTYPES,
        PRACTITIONERS, AND PUBLIC AWARENESS
    ",A,3.5,High,4.0,24.98534303534305,12.789377799227799,15.972052521108978,15.479153984377866,0.4041,0.0,0.4309,0.6363,0.872,14,5,4,[],,737,3
Aston University,10007759,West Midlands,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",36999,"
    1) METFORMIN: CHANGING THE TREATMENT ALGORITHM FOR TYPE 2 DIABETES
    ",A,3.5,High,4.0,34.94290625000002,12.992829310344828,15.078166124597352,15.625450102880656,0.1602,0.0,0.0,0.4064,0.5616,11,7,13,['$1.6 billion'],£1600.0 million,729,2
Aston University,10007759,West Midlands,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",37000,"
    6) DEVELOPMENT OF MAGNETOENCEPHALOGRAPHY (MEG) FOR CLINICAL SERVICE
        PROVISION
    ",A,3.5,High,4.0,16.125409131387897,13.106417851760515,17.940679310345896,18.27927634276343,0.3098,-0.1919,0.3612,0.6249,0.8261,21,12,4,['£4.4 million'],£4.4 million,813,3
Aston University,10007759,West Midlands,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",37001,"
    2) ASTON UNIVERSITY'S RESEARCH IMPACTS ON THE CONTROL OF
        HEALTHCARE-ASSOCIATED INFECTIONS
    ",A,3.5,High,4.0,20.07250000000002,13.574378831417626,17.596897082271823,19.172232329967613,0.2506,0.0,0.2732,0.4588,0.5802,14,12,5,[],,724,3
University of Lincoln,10007151,East Midlands,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",37287,"
    Improving influenza and pneumococcal vaccination rates in primary
        care
    ",A,3.1670000000000003,High,5.0,6.820446567483486,13.680340451186309,20.852429223088986,23.67958624708625,0.1836,-0.2382,0.0258,0.3182,0.795,16,3,8,[],,858,2
University of Lincoln,10007151,East Midlands,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",37301,"
    Improving the quality and outcomes of prehospital care for emergencies
    ",A,3.1670000000000003,High,5.0,15.92372785829312,12.878313204508858,20.337722031476613,22.455571238991432,0.5083,0.0,0.4939,0.8349,0.9228,16,1,4,['79 per cent'],£0.0 million,921,7
University College London,10007784,London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38201,"
    Oral epidemiology and the use of subjective measures of oral health and
      quality of life
    ",A,3.6,High,0.0,31.001605633802825,12.523150563380282,16.46564046220383,17.924551056338025,0.1087,-0.5106,0.0,0.4722,0.6304,29,4,16,[],,1136,2
University College London,10007784,London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38201,"
    Oral epidemiology and the use of subjective measures of oral health and
      quality of life
    ",A,3.667,High,0.0,31.001605633802825,12.523150563380282,16.46564046220383,17.924551056338025,0.1087,-0.5106,0.0,0.4722,0.6304,29,4,16,[],,1136,2
University College London,10007784,London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38247,"
    Developing methods to measure and quantify amorphous content in
      micronised particles, leading to improved manufacture and performance of
      inhaled drug delivery devices
    ",A,3.6,High,0.0,20.153236478711193,12.292856764754234,18.14513906131404,18.129122143679105,0.0648,-0.2067,0.0,0.2263,0.3612,12,2,3,"['approximately $20 billion', 'some £7.3b']",£20000.0 million,1106,2
University College London,10007784,London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38247,"
    Developing methods to measure and quantify amorphous content in
      micronised particles, leading to improved manufacture and performance of
      inhaled drug delivery devices
    ",A,3.667,High,0.0,20.153236478711193,12.292856764754234,18.14513906131404,18.129122143679105,0.0648,-0.2067,0.0,0.2263,0.3612,12,2,3,"['approximately $20 billion', 'some £7.3b']",£20000.0 million,1106,2
Queen's University Belfast,10005343,Northern Ireland,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38433,"
    A systematic review of low cost interventions to improve health outcomes
      and survival of high risk babies
    ",A,3.5,High,11.0,28.689019718575025,11.502578516636078,17.079157307727765,18.69298131676785,0.1284,-0.4414,0.0,0.3818,0.6894,20,5,5,['4'],£0.0 million,787,2
Queen's University Belfast,10005343,Northern Ireland,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38433,"
    A systematic review of low cost interventions to improve health outcomes
      and survival of high risk babies
    ",A,3.0,High,11.0,28.689019718575025,11.502578516636078,17.079157307727765,18.69298131676785,0.1284,-0.4414,0.0,0.3818,0.6894,20,5,5,['4'],£0.0 million,787,2
Queen's University Belfast,10005343,Northern Ireland,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38434,"
    Changed attitudes towards unintended pregnancy: young men and the
      Relationship and Sexuality Education curriculum
    ",A,3.5,High,11.0,28.44641982182631,12.383735062042634,17.813350491598133,19.647475083056477,0.216,0.0,0.0,0.4115,0.7583,16,4,6,[],,903,5
Queen's University Belfast,10005343,Northern Ireland,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38434,"
    Changed attitudes towards unintended pregnancy: young men and the
      Relationship and Sexuality Education curriculum
    ",A,3.0,High,11.0,28.44641982182631,12.383735062042634,17.813350491598133,19.647475083056477,0.216,0.0,0.0,0.4115,0.7583,16,4,6,[],,903,5
Queen's University Belfast,10005343,Northern Ireland,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38435,"
    Improving pregnancy outcomes for women with diabetes
    ",A,3.5,High,11.0,21.371542603737737,12.944813504381797,17.71076766245143,18.241707445686565,0.2706,-0.0482,0.1652,0.4981,0.8199,15,2,5,"['$34,000 dollars']",£0.03 million,862,2
Queen's University Belfast,10005343,Northern Ireland,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38435,"
    Improving pregnancy outcomes for women with diabetes
    ",A,3.0,High,11.0,21.371542603737737,12.944813504381797,17.71076766245143,18.241707445686565,0.2706,-0.0482,0.1652,0.4981,0.8199,15,2,5,"['$34,000 dollars']",£0.03 million,862,2
Queen's University Belfast,10005343,Northern Ireland,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38445,"
    `Cohesive Paste&#8482;': A Product with Enhanced Comfort and Skin Protection
      for Stoma Patients
    ",A,3.5,High,11.0,32.551930333817154,12.606799864871629,15.990984468030547,16.38161469265367,0.161,-0.4972,0.25,0.4215,0.602,11,5,5,"['more than £1M', 'more than £1M', 'more than £1M']",£0.0 million,690,3
Queen's University Belfast,10005343,Northern Ireland,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",38445,"
    `Cohesive Paste&#8482;': A Product with Enhanced Comfort and Skin Protection
      for Stoma Patients
    ",A,3.0,High,11.0,32.551930333817154,12.606799864871629,15.990984468030547,16.38161469265367,0.161,-0.4972,0.25,0.4215,0.602,11,5,5,"['more than £1M', 'more than £1M', 'more than £1M']",£0.0 million,690,3
